Day,Campaign,User Engagement,Banner,Placement,Displays,Cost,Clicks,Revenue,Post Click Conversions,Post Click Sales Amount
2020-04-01,Spring Push,High Intent,160x600,Social App,3084,11.31,15,7.26,1,41.47
2020-04-02,Summer Sale,Medium Intent,320x50,Social App,5698,8.71,16,8.27,0,0.0
2020-04-02,Awareness,High Intent,160x600,Video Platform,2255,5.57,16,25.31,1,113.04
2020-04-02,Summer Sale,Low Intent,320x50,Lifestyle Blog,4901,6.54,19,3.68,0,0.0
2020-04-02,Retention,Low Intent,728x90,E-commerce,3985,10.56,20,21.55,0,0.0
2020-04-02,Summer Sale,High Intent,300x250,News Site,3288,10.5,22,16.32,1,69.86
2020-04-02,Retention,Medium Intent,320x50,E-commerce,5198,26.72,26,23.49,1,80.41
2020-04-02,Spring Push,Medium Intent,320x50,E-commerce,5762,10.02,34,16.94,0,0.0
2020-04-02,Awareness,Low Intent,300x250,Video Platform,4371,23.82,30,21.44,0,0.0
2020-04-02,Spring Push,Medium Intent,160x600,Video Platform,2261,11.07,11,4.86,1,88.76
2020-04-02,Awareness,High Intent,320x50,Social App,5366,28.51,27,58.24,1,90.2
2020-04-02,Summer Sale,High Intent,160x600,E-commerce,2015,7.21,20,8.8,2,216.66
2020-04-02,Retention,Medium Intent,300x250,Video Platform,4645,21.62,35,12.7,0,0.0
2020-04-02,Awareness,Low Intent,728x90,Social App,4035,14.9,13,9.2,0,0.0
2020-04-02,Awareness,Medium Intent,300x250,E-commerce,4708,24.45,40,19.66,5,264.95
2020-04-02,Awareness,Medium Intent,300x250,Lifestyle Blog,3621,11.27,43,40.15,1,84.27
2020-04-02,Awareness,High Intent,728x90,E-commerce,3428,6.09,21,20.64,2,257.19
2020-04-02,Spring Push,High Intent,320x50,News Site,5340,7.61,43,33.77,2,198.82
2020-04-03,Retention,High Intent,320x50,E-commerce,4709,7.06,14,6.15,2,367.43
2020-04-03,Retention,High Intent,320x50,Social App,5702,13.8,26,22.25,2,83.62
2020-04-03,Retention,Medium Intent,320x50,Video Platform,4108,21.25,25,28.09,1,152.51
2020-04-03,Awareness,Medium Intent,320x50,News Site,5210,8.75,29,34.08,2,208.04
2020-04-03,Retention,High Intent,160x600,News Site,3137,14.6,28,25.73,1,109.85
2020-04-03,Retention,Medium Intent,300x250,News Site,3174,6.45,33,25.25,1,129.23
2020-04-03,Spring Push,High Intent,300x250,Lifestyle Blog,2873,6.34,35,16.57,2,234.6
2020-04-03,Spring Push,Medium Intent,160x600,Video Platform,2422,9.21,13,5.1,0,0.0
2020-04-03,Summer Sale,High Intent,728x90,Video Platform,3964,7.06,30,16.41,2,162.68
2020-04-03,Summer Sale,High Intent,320x50,Gaming App,5036,21.28,26,10.08,0,0.0
2020-04-03,Retention,High Intent,320x50,Lifestyle Blog,4812,16.68,23,31.13,1,77.91
2020-04-03,Summer Sale,Medium Intent,300x250,Video Platform,4735,7.26,35,11.45,2,58.55
2020-04-03,Spring Push,High Intent,160x600,News Site,2693,12.31,20,16.34,2,140.4
2020-04-03,Retention,High Intent,320x50,Social App,5136,17.85,45,72.79,2,102.51
2020-04-03,Summer Sale,High Intent,320x50,Social App,6261,10.92,42,29.09,3,169.17
2020-04-03,Spring Push,Medium Intent,300x250,News Site,4257,17.78,35,10.21,2,269.73
2020-04-03,Spring Push,Low Intent,728x90,Social App,4049,20.81,20,12.5,0,0.0
2020-04-03,Summer Sale,Medium Intent,728x90,Gaming App,4522,11.8,22,23.16,0,0.0
2020-04-03,Spring Push,High Intent,300x250,Gaming App,4207,16.28,52,66.11,1,59.67
2020-04-03,Awareness,Low Intent,320x50,Lifestyle Blog,5461,13.98,21,15.63,0,0.0
2020-04-03,Summer Sale,Medium Intent,320x50,Social App,6282,30.17,45,43.24,1,81.9
2020-04-03,Retention,High Intent,300x250,E-commerce,4075,22.04,46,50.45,0,0.0
2020-04-03,Spring Push,Medium Intent,300x250,News Site,3749,8.32,25,28.41,0,0.0
2020-04-03,Summer Sale,Medium Intent,728x90,News Site,3598,11.6,39,45.02,3,198.49
2020-04-03,Spring Push,Low Intent,300x250,E-commerce,3932,9.4,31,12.78,0,0.0
2020-04-04,Spring Push,Medium Intent,728x90,Gaming App,5281,10.33,38,45.87,0,0.0
2020-04-04,Spring Push,Low Intent,728x90,E-commerce,3380,12.52,23,16.38,0,0.0
2020-04-04,Spring Push,Medium Intent,320x50,Video Platform,6013,9.75,28,18.27,0,0.0
2020-04-04,Awareness,Low Intent,728x90,Video Platform,4439,8.64,29,13.39,1,58.17
2020-04-04,Awareness,High Intent,320x50,Social App,6528,13.91,36,36.4,3,212.26
2020-04-04,Awareness,Medium Intent,300x250,News Site,3518,13.34,23,9.38,0,0.0
2020-04-04,Summer Sale,Medium Intent,300x250,News Site,3959,9.44,30,29.98,0,0.0
2020-04-04,Retention,Medium Intent,728x90,Lifestyle Blog,2999,3.42,17,21.38,0,0.0
2020-04-04,Spring Push,Low Intent,160x600,Lifestyle Blog,2433,4.01,13,15.06,0,0.0
2020-04-04,Retention,Medium Intent,160x600,E-commerce,2700,6.75,8,4.3,0,0.0
2020-04-04,Spring Push,Medium Intent,160x600,Video Platform,4215,6.91,31,16.89,1,102.72
2020-04-04,Spring Push,Low Intent,728x90,Lifestyle Blog,3601,12.39,12,6.47,0,0.0
2020-04-04,Spring Push,Low Intent,728x90,Lifestyle Blog,3531,14.31,20,4.32,0,0.0
2020-04-04,Awareness,Medium Intent,160x600,Social App,3458,14.68,27,30.39,0,0.0
2020-04-04,Awareness,Medium Intent,160x600,News Site,2458,10.03,22,9.21,2,291.32
2020-04-04,Spring Push,Medium Intent,160x600,News Site,2750,4.47,12,14.73,0,0.0
2020-04-04,Spring Push,High Intent,728x90,Video Platform,4284,10.92,51,12.35,5,759.05
2020-04-04,Awareness,High Intent,320x50,E-commerce,4531,23.63,33,48.22,2,203.62
2020-04-04,Summer Sale,Medium Intent,300x250,News Site,3687,5.48,20,4.39,0,0.0
2020-04-04,Retention,Medium Intent,160x600,E-commerce,2887,11.81,25,10.99,1,76.72
2020-04-04,Retention,Medium Intent,300x250,Lifestyle Blog,3207,4.06,28,31.55,1,47.49
2020-04-04,Awareness,Low Intent,300x250,Lifestyle Blog,3370,10.11,19,11.46,1,145.25
2020-04-05,Retention,Medium Intent,300x250,Lifestyle Blog,3553,3.9,25,25.64,3,128.73
2020-04-05,Summer Sale,Low Intent,728x90,Social App,5223,18.97,30,28.66,1,60.23
2020-04-05,Retention,Low Intent,728x90,Gaming App,4964,18.45,32,9.78,0,0.0
2020-04-05,Spring Push,High Intent,160x600,Gaming App,3369,6.39,28,13.39,0,0.0
2020-04-05,Retention,High Intent,300x250,Gaming App,4975,9.18,55,66.87,3,453.88
2020-04-05,Spring Push,Low Intent,728x90,Social App,5056,8.19,29,6.73,1,83.8
2020-04-05,Summer Sale,High Intent,728x90,Social App,4329,5.99,40,25.54,1,123.91
2020-04-05,Spring Push,Medium Intent,320x50,Lifestyle Blog,4794,17.18,21,11.21,1,124.73
2020-04-05,Awareness,Low Intent,160x600,Lifestyle Blog,2864,7.47,14,7.04,0,0.0
2020-04-05,Summer Sale,Medium Intent,160x600,News Site,3025,9.53,21,7.01,0,0.0
2020-04-05,Spring Push,Low Intent,160x600,Social App,3285,17.92,14,5.61,0,0.0
2020-04-05,Awareness,High Intent,320x50,Lifestyle Blog,4421,15.51,41,21.34,0,0.0
2020-04-05,Awareness,Medium Intent,300x250,Gaming App,5061,21.1,50,26.4,3,99.97
2020-04-05,Retention,High Intent,320x50,News Site,4653,17.44,30,26.49,2,205.68
2020-04-05,Retention,Medium Intent,300x250,Video Platform,5850,13.09,56,43.48,2,244.76
2020-04-05,Awareness,Medium Intent,300x250,Video Platform,4436,24.06,40,31.07,1,31.66
2020-04-05,Awareness,Medium Intent,320x50,Lifestyle Blog,4085,17.13,21,13.35,1,146.88
2020-04-05,Summer Sale,Medium Intent,728x90,Social App,5870,8.81,43,37.25,3,215.44
2020-04-05,Summer Sale,Medium Intent,320x50,Video Platform,5705,18.96,29,24.93,0,0.0
2020-04-05,Retention,Medium Intent,160x600,Gaming App,3407,11.36,11,8.15,0,0.0
2020-04-05,Spring Push,High Intent,728x90,Gaming App,4470,9.18,39,23.75,1,106.0
2020-04-05,Awareness,Medium Intent,320x50,Video Platform,5970,34.44,31,11.83,1,103.95
2020-04-06,Retention,Medium Intent,728x90,Video Platform,3921,7.86,36,24.18,3,109.15
2020-04-06,Spring Push,High Intent,160x600,News Site,2322,7.73,21,7.92,2,102.57
2020-04-06,Retention,Medium Intent,728x90,Social App,5200,21.67,35,47.98,1,106.18
2020-04-06,Retention,High Intent,728x90,Gaming App,4208,14.41,34,44.96,4,318.51
2020-04-06,Spring Push,Medium Intent,728x90,Video Platform,4117,18.36,26,44.81,2,181.2
2020-04-06,Summer Sale,Medium Intent,728x90,Social App,4250,17.61,30,37.7,1,125.45
2020-04-06,Spring Push,Low Intent,300x250,Gaming App,4628,13.03,27,7.24,0,0.0
2020-04-06,Retention,High Intent,320x50,News Site,5185,24.57,38,34.33,1,106.21
2020-04-06,Retention,Low Intent,300x250,Gaming App,4310,16.31,42,48.22,2,101.08
2020-04-06,Retention,Low Intent,160x600,Gaming App,3074,6.53,10,5.25,0,0.0
2020-04-06,Summer Sale,Low Intent,320x50,Social App,6346,26.65,16,3.85,0,0.0
2020-04-06,Summer Sale,Medium Intent,728x90,Video Platform,4408,19.17,31,48.06,2,141.31
2020-04-06,Awareness,Medium Intent,320x50,Video Platform,4981,12.78,37,37.19,1,91.8
2020-04-06,Retention,High Intent,300x250,Video Platform,4275,9.64,35,41.62,0,0.0
2020-04-06,Awareness,High Intent,160x600,Lifestyle Blog,2786,7.49,14,23.73,0,0.0
2020-04-06,Spring Push,High Intent,728x90,Gaming App,4380,14.38,33,17.3,1,38.03
2020-04-06,Retention,Medium Intent,300x250,Gaming App,4813,17.05,36,33.23,1,96.42
2020-04-06,Summer Sale,High Intent,320x50,Gaming App,5977,8.47,51,42.96,3,207.99
2020-04-06,Spring Push,High Intent,320x50,Gaming App,5577,9.75,35,42.8,3,330.17
2020-04-06,Spring Push,Low Intent,320x50,Gaming App,6000,25.04,29,19.53,0,0.0
2020-04-06,Spring Push,Low Intent,160x600,Gaming App,3433,10.49,14,9.25,1,60.83
2020-04-06,Summer Sale,Medium Intent,728x90,Gaming App,4024,10.67,30,10.28,4,392.95
2020-04-07,Retention,High Intent,320x50,News Site,4829,22.23,26,12.9,1,98.57
2020-04-07,Summer Sale,High Intent,320x50,Video Platform,5181,21.63,36,51.35,3,121.57
2020-04-07,Retention,Low Intent,728x90,E-commerce,3766,8.87,18,7.51,0,0.0
2020-04-07,Spring Push,Low Intent,300x250,News Site,3916,14.75,22,13.74,0,0.0
2020-04-07,Summer Sale,High Intent,320x50,Social App,5632,16.03,36,40.94,1,133.83
2020-04-07,Spring Push,High Intent,160x600,Social App,2504,9.49,16,21.07,0,0.0
2020-04-07,Summer Sale,High Intent,320x50,Lifestyle Blog,4480,8.7,23,9.91,2,140.03
2020-04-07,Summer Sale,High Intent,300x250,Gaming App,4437,6.96,66,74.61,6,449.45
2020-04-07,Spring Push,Medium Intent,300x250,Lifestyle Blog,3803,15.07,19,13.47,0,0.0
2020-04-07,Retention,Medium Intent,300x250,News Site,4317,6.31,47,31.18,4,400.72
2020-04-07,Retention,High Intent,300x250,E-commerce,3278,5.89,26,26.66,0,0.0
2020-04-07,Retention,High Intent,320x50,Video Platform,4880,14.4,25,9.51,1,210.05
2020-04-07,Spring Push,Medium Intent,728x90,Gaming App,4368,13.89,23,12.39,2,174.29
2020-04-07,Awareness,Medium Intent,728x90,E-commerce,3546,9.07,22,13.58,3,233.06
2020-04-07,Spring Push,Medium Intent,728x90,Lifestyle Blog,3243,9.17,26,24.45,0,0.0
2020-04-07,Spring Push,Medium Intent,160x600,E-commerce,2146,10.12,11,9.39,0,0.0
2020-04-07,Summer Sale,Medium Intent,728x90,News Site,3582,15.25,21,23.54,1,89.34
2020-04-07,Retention,High Intent,160x600,Video Platform,3052,14.03,24,25.65,3,448.9
2020-04-07,Spring Push,Medium Intent,300x250,Lifestyle Blog,3919,10.61,44,19.39,3,127.29
2020-04-07,Summer Sale,Medium Intent,300x250,E-commerce,4357,13.85,24,38.08,0,0.0
2020-04-08,Awareness,High Intent,320x50,Gaming App,5744,17.2,35,16.19,3,294.65
2020-04-08,Spring Push,Medium Intent,160x600,Video Platform,2785,8.29,20,13.88,1,84.49
2020-04-08,Summer Sale,Medium Intent,320x50,Social App,6491,31.53,30,21.87,0,0.0
2020-04-08,Awareness,Medium Intent,320x50,Gaming App,6056,26.29,19,23.76,0,0.0
2020-04-08,Summer Sale,Low Intent,160x600,Lifestyle Blog,3071,9.39,22,6.27,2,122.56
2020-04-08,Retention,Low Intent,300x250,Lifestyle Blog,3739,15.02,20,9.69,0,0.0
2020-04-08,Summer Sale,High Intent,320x50,E-commerce,4688,7.19,16,22.29,2,102.12
2020-04-08,Summer Sale,High Intent,320x50,Lifestyle Blog,3649,6.28,17,19.6,1,61.19
2020-04-08,Retention,Medium Intent,160x600,Lifestyle Blog,1925,7.44,12,14.89,0,0.0
2020-04-08,Awareness,High Intent,160x600,E-commerce,2064,3.44,11,12.88,0,0.0
2020-04-08,Spring Push,Medium Intent,728x90,News Site,4149,21.66,26,26.18,1,88.03
2020-04-08,Retention,Medium Intent,320x50,E-commerce,5369,25.72,29,37.45,0,0.0
2020-04-08,Retention,Medium Intent,320x50,Gaming App,6432,11.38,39,48.05,2,328.49
2020-04-08,Spring Push,High Intent,728x90,Gaming App,3856,13.71,25,17.92,0,0.0
2020-04-08,Retention,High Intent,160x600,Gaming App,3414,14.94,26,24.77,2,412.88
2020-04-08,Awareness,Medium Intent,160x600,Lifestyle Blog,2327,7.87,17,12.46,0,0.0
2020-04-08,Summer Sale,High Intent,160x600,Social App,2722,4.89,19,10.72,1,88.39
2020-04-08,Spring Push,Medium Intent,160x600,News Site,2986,9.51,20,20.94,1,64.09
2020-04-08,Retention,High Intent,320x50,Lifestyle Blog,4355,8.64,23,25.22,1,90.96
2020-04-08,Awareness,Low Intent,728x90,Lifestyle Blog,3513,12.77,26,21.34,0,0.0
2020-04-08,Retention,Medium Intent,160x600,News Site,2110,10.95,15,5.36,1,128.82
2020-04-08,Retention,High Intent,300x250,E-commerce,4273,6.49,43,55.1,4,297.64
2020-04-09,Awareness,Medium Intent,728x90,Video Platform,4585,11.55,29,32.6,2,264.95
2020-04-09,Summer Sale,High Intent,300x250,E-commerce,3510,9.38,28,28.7,1,84.49
2020-04-09,Awareness,Medium Intent,320x50,Lifestyle Blog,4213,16.41,27,8.44,2,183.31
2020-04-09,Retention,Low Intent,160x600,Gaming App,2994,13.81,8,5.12,0,0.0
2020-04-09,Spring Push,Low Intent,320x50,Gaming App,6030,7.3,22,3.34,0,0.0
2020-04-09,Spring Push,Medium Intent,300x250,Social App,4034,13.04,21,18.73,2,96.6
2020-04-09,Retention,Low Intent,160x600,News Site,2740,7.92,12,1.83,0,0.0
2020-04-09,Retention,High Intent,320x50,E-commerce,5402,23.54,34,14.54,0,0.0
2020-04-09,Retention,Medium Intent,320x50,Gaming App,6139,23.24,28,40.91,0,0.0
2020-04-09,Summer Sale,High Intent,320x50,Lifestyle Blog,4124,13.31,29,15.42,4,412.94
2020-04-09,Spring Push,Medium Intent,300x250,Social App,4275,16.5,46,28.14,2,210.09
2020-04-09,Retention,High Intent,300x250,Social App,4882,15.81,52,25.52,4,328.71
2020-04-09,Retention,High Intent,300x250,Social App,4313,7.34,48,42.81,1,99.03
2020-04-09,Spring Push,Medium Intent,320x50,Lifestyle Blog,5376,21.3,25,6.21,0,0.0
2020-04-09,Spring Push,High Intent,160x600,Video Platform,2630,8.43,16,5.27,1,43.88
2020-04-09,Summer Sale,High Intent,728x90,Lifestyle Blog,3035,8.78,36,12.61,0,0.0
2020-04-09,Retention,Medium Intent,728x90,Video Platform,4144,8.64,16,14.79,0,0.0
2020-04-09,Retention,Low Intent,728x90,News Site,3680,7.07,13,2.93,0,0.0
2020-04-09,Spring Push,High Intent,160x600,E-commerce,2297,8.34,22,23.96,1,49.34
2020-04-09,Awareness,Medium Intent,320x50,Video Platform,5629,27.05,22,15.09,0,0.0
2020-04-09,Awareness,Medium Intent,160x600,E-commerce,2591,10.44,11,7.2,1,93.77
2020-04-09,Summer Sale,Medium Intent,300x250,Gaming App,4864,22.82,36,36.71,2,174.66
2020-04-10,Awareness,Medium Intent,300x250,News Site,3230,10.56,26,19.03,2,178.31
2020-04-10,Retention,Low Intent,300x250,Video Platform,5086,27.85,40,32.29,2,124.84
2020-04-10,Awareness,Medium Intent,728x90,Gaming App,4103,10.22,25,33.39,2,67.79
2020-04-10,Summer Sale,Low Intent,728x90,E-commerce,3644,7.5,28,26.57,1,100.7
2020-04-10,Summer Sale,Medium Intent,320x50,News Site,5084,8.04,21,12.88,2,91.28
2020-04-10,Summer Sale,High Intent,160x600,Lifestyle Blog,2149,5.81,14,18.29,0,0.0
2020-04-10,Spring Push,Low Intent,160x600,Gaming App,2844,12.69,23,9.45,0,0.0
2020-04-10,Summer Sale,High Intent,320x50,E-commerce,4326,22.84,33,44.94,1,34.14
2020-04-10,Spring Push,Medium Intent,160x600,Lifestyle Blog,2562,7.08,21,9.34,0,0.0
2020-04-10,Awareness,High Intent,320x50,E-commerce,5121,18.68,23,10.24,0,0.0
2020-04-10,Spring Push,Medium Intent,320x50,Gaming App,6450,15.02,27,24.59,2,192.19
2020-04-10,Spring Push,High Intent,160x600,E-commerce,2467,11.05,21,7.38,1,100.56
2020-04-10,Summer Sale,Medium Intent,300x250,Social App,5023,14.42,44,52.06,1,61.15
2020-04-10,Awareness,Medium Intent,160x600,Gaming App,2438,10.39,11,4.81,1,76.52
2020-04-10,Summer Sale,High Intent,728x90,Video Platform,4298,12.55,35,37.17,1,104.46
2020-04-10,Retention,High Intent,300x250,E-commerce,3638,13.35,17,7.84,0,0.0
2020-04-10,Summer Sale,High Intent,300x250,Gaming App,3504,10.06,39,36.9,2,247.5
2020-04-10,Spring Push,Medium Intent,728x90,Gaming App,4248,5.36,58,58.48,1,51.99
2020-04-10,Awareness,Medium Intent,160x600,Gaming App,2703,6.16,10,9.76,0,0.0
2020-04-10,Summer Sale,Low Intent,728x90,Gaming App,4251,12.51,19,13.54,1,152.3
2020-04-10,Retention,Medium Intent,728x90,News Site,3520,6.61,19,14.94,0,0.0
2020-04-10,Awareness,Medium Intent,320x50,Lifestyle Blog,3980,8.75,27,31.04,1,80.61
2020-04-10,Awareness,Low Intent,160x600,Video Platform,2825,12.88,10,2.95,0,0.0
2020-04-10,Awareness,Low Intent,320x50,Social App,5812,13.05,17,4.48,0,0.0
2020-04-10,Summer Sale,Medium Intent,160x600,Lifestyle Blog,2382,7.38,14,12.13,1,114.85
2020-04-11,Summer Sale,Medium Intent,160x600,Social App,3516,9.36,26,16.65,2,250.52
2020-04-11,Retention,Medium Intent,728x90,Gaming App,5251,21.51,37,12.25,1,134.98
2020-04-11,Spring Push,High Intent,320x50,Video Platform,5670,8.52,28,41.82,1,72.04
2020-04-11,Summer Sale,Medium Intent,728x90,Gaming App,4926,13.28,24,25.04,0,0.0
2020-04-11,Spring Push,High Intent,160x600,News Site,2432,10.14,12,8.02,1,66.33
2020-04-11,Summer Sale,High Intent,320x50,News Site,4451,9.48,33,26.09,0,0.0
2020-04-11,Retention,Medium Intent,728x90,News Site,2762,4.69,22,21.39,2,155.46
2020-04-11,Summer Sale,Medium Intent,160x600,Lifestyle Blog,2117,5.94,12,10.06,1,51.76
2020-04-11,Summer Sale,Medium Intent,160x600,Video Platform,3560,10.31,11,8.77,1,79.41
2020-04-11,Summer Sale,Low Intent,320x50,E-commerce,4867,18.41,14,3.81,0,0.0
2020-04-11,Spring Push,Medium Intent,728x90,Video Platform,4480,16.43,20,12.96,0,0.0
2020-04-11,Awareness,Low Intent,300x250,Gaming App,6180,25.29,26,7.58,0,0.0
2020-04-11,Spring Push,Medium Intent,300x250,Gaming App,5776,22.83,31,39.26,0,0.0
2020-04-11,Retention,Medium Intent,300x250,News Site,3857,17.97,34,12.7,1,149.49
2020-04-11,Awareness,Medium Intent,160x600,Lifestyle Blog,1204,1.58,13,7.56,0,0.0
2020-04-11,Awareness,Medium Intent,728x90,E-commerce,3317,13.45,24,11.89,0,0.0
2020-04-11,Summer Sale,Medium Intent,728x90,Social App,4694,8.74,38,44.51,5,360.15
2020-04-11,Retention,High Intent,320x50,E-commerce,4631,18.32,30,17.56,1,92.52
2020-04-11,Retention,Medium Intent,728x90,Social App,4925,9.73,42,35.9,1,88.26
2020-04-11,Summer Sale,Medium Intent,320x50,Lifestyle Blog,3924,9.97,22,25.04,0,0.0
2020-04-11,Spring Push,Low Intent,320x50,Lifestyle Blog,5350,6.65,20,16.35,0,0.0
2020-04-11,Retention,High Intent,160x600,E-commerce,2011,7.22,14,20.54,0,0.0
2020-04-11,Awareness,Medium Intent,320x50,Video Platform,6429,38.47,34,23.24,2,152.8
2020-04-11,Awareness,Medium Intent,160x600,Social App,3511,11.02,28,12.69,1,103.25
2020-04-11,Summer Sale,Low Intent,300x250,Social App,5446,25.25,39,13.84,3,187.04
2020-04-12,Summer Sale,Medium Intent,160x600,Video Platform,3750,20.73,22,29.25,1,88.4
2020-04-12,Awareness,High Intent,320x50,Lifestyle Blog,3818,15.71,28,9.88,1,42.46
2020-04-12,Spring Push,Medium Intent,300x250,E-commerce,3222,15.28,35,20.52,0,0.0
2020-04-12,Summer Sale,Low Intent,160x600,Social App,3787,10.08,13,7.46,0,0.0
2020-04-12,Awareness,High Intent,728x90,E-commerce,3535,10.5,45,41.69,2,142.18
2020-04-12,Awareness,Medium Intent,728x90,Video Platform,4574,24.54,33,47.85,0,0.0
2020-04-12,Spring Push,Low Intent,300x250,Lifestyle Blog,3223,10.99,14,10.74,0,0.0
2020-04-12,Summer Sale,High Intent,160x600,Video Platform,2720,10.44,10,8.04,0,0.0
2020-04-12,Retention,High Intent,160x600,Lifestyle Blog,2866,9.62,16,5.37,1,103.23
2020-04-12,Summer Sale,High Intent,728x90,E-commerce,2911,8.43,26,10.41,1,130.81
2020-04-12,Awareness,Medium Intent,160x600,Social App,2726,9.11,19,15.78,0,0.0
2020-04-12,Awareness,Low Intent,320x50,Lifestyle Blog,4601,9.94,29,18.46,1,102.6
2020-04-12,Awareness,Low Intent,320x50,News Site,4962,7.87,31,26.39,2,55.99
2020-04-12,Retention,Medium Intent,728x90,Video Platform,4184,14.44,28,22.69,0,0.0
2020-04-12,Summer Sale,Low Intent,160x600,News Site,2419,9.98,13,1.61,0,0.0
2020-04-12,Summer Sale,High Intent,300x250,Gaming App,5483,21.71,59,72.61,5,506.02
2020-04-12,Awareness,Medium Intent,160x600,E-commerce,2149,11.36,11,13.01,0,0.0
2020-04-12,Summer Sale,Low Intent,160x600,News Site,2570,8.22,16,10.65,0,0.0
2020-04-12,Retention,Medium Intent,160x600,E-commerce,1931,8.59,8,6.16,1,84.51
2020-04-12,Retention,Medium Intent,320x50,Video Platform,5888,17.43,45,26.85,0,0.0
2020-04-12,Awareness,Medium Intent,300x250,Social App,4796,8.37,47,52.03,0,0.0
2020-04-12,Spring Push,Low Intent,160x600,Gaming App,3762,16.54,12,6.06,0,0.0
2020-04-12,Spring Push,High Intent,728x90,Gaming App,4833,11.24,40,44.57,3,175.43
2020-04-12,Summer Sale,Medium Intent,320x50,E-commerce,5142,26.61,31,27.63,1,67.0
2020-04-12,Retention,Low Intent,300x250,Gaming App,6408,12.57,41,30.6,1,55.37
2020-04-12,Summer Sale,Low Intent,160x600,News Site,3275,16.54,17,8.06,0,0.0
2020-04-12,Awareness,High Intent,320x50,Social App,6087,19.87,36,57.23,0,0.0
2020-04-13,Awareness,High Intent,160x600,E-commerce,2422,13.01,14,19.93,1,42.84
2020-04-13,Awareness,High Intent,160x600,Social App,2830,14.63,16,20.66,1,65.86
2020-04-13,Spring Push,Low Intent,320x50,News Site,5735,12.12,28,12.54,1,119.19
2020-04-13,Retention,Medium Intent,300x250,News Site,4131,20.04,27,9.45,1,60.46
2020-04-13,Awareness,High Intent,728x90,E-commerce,3219,10.73,37,34.23,2,80.1
2020-04-13,Retention,High Intent,728x90,E-commerce,2971,14.3,22,20.34,1,134.93
2020-04-13,Retention,Low Intent,728x90,Lifestyle Blog,3925,6.66,16,8.21,0,0.0
2020-04-13,Retention,Medium Intent,300x250,Lifestyle Blog,3743,12.37,21,27.61,0,0.0
2020-04-13,Retention,Low Intent,160x600,Social App,3192,9.78,16,19.58,0,0.0
2020-04-13,Spring Push,Medium Intent,300x250,Social App,4920,26.92,48,10.94,1,59.34
2020-04-13,Spring Push,Medium Intent,728x90,E-commerce,3943,12.09,35,18.61,0,0.0
2020-04-13,Awareness,High Intent,160x600,News Site,2604,8.73,22,32.64,1,100.86
2020-04-13,Retention,Medium Intent,300x250,Video Platform,4852,17.5,37,41.7,0,0.0
2020-04-13,Spring Push,Medium Intent,160x600,E-commerce,2927,15.78,15,5.22,0,0.0
2020-04-13,Spring Push,Medium Intent,728x90,E-commerce,3714,14.28,26,21.31,1,77.98
2020-04-13,Spring Push,Medium Intent,160x600,Gaming App,2812,3.79,11,8.78,0,0.0
2020-04-13,Spring Push,High Intent,320x50,Gaming App,6253,28.05,47,49.5,2,201.28
2020-04-13,Summer Sale,Medium Intent,320x50,Video Platform,5378,10.22,21,24.75,2,171.75
2020-04-13,Summer Sale,High Intent,300x250,Lifestyle Blog,3228,6.34,24,21.35,0,0.0
2020-04-13,Retention,High Intent,160x600,E-commerce,2835,14.68,23,12.15,1,128.57
2020-04-13,Awareness,Medium Intent,160x600,Gaming App,2582,9.88,8,11.91,1,42.57
